countryCode,countryName,year,electricityAccess,region
MAR,Morocco,2011,96.1,Middle East & North Africa
NPL,Nepal,2011,67.3,South Asia
NLD,Netherlands,2011,100.0,Europe & Central Asia
NZL,New Zealand,2011,100.0,East Asia & Pacific
ZAF,South Africa,2012,85.2,Sub-Saharan Africa
DEU,Germany,2011,100.0,Europe & Central Asia
GHA,Ghana,2011,64.1,Sub-Saharan Africa
CAN,Canada,2013,100.0,North America
SAU,Saudi Arabia,2016,99.9,Middle East & North Africa
BRA,Brazil,2008,98.5,Latin America & Caribbean
DEU,Germany,2015,100.0,Europe & Central Asia
GHA,Ghana,2015,74.0,Sub-Saharan Africa
IND,India,2006,67.9,South Asia
IDN,Indonesia,2006,90.6,East Asia & Pacific
CAN,Canada,2021,100.0,North America
CHL,Chile,2021,100.0,Latin America & Caribbean
TZA,Tanzania,2011,14.2,Sub-Saharan Africa
THA,Thailand,2011,99.3,East Asia & Pacific
IND,India,2011,79.5,South Asia
IDN,Indonesia,2011,94.8,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2011,99.5,Middle East & North Africa
IRQ,Iraq,2011,98.0,Middle East & North Africa
IND,India,2013,83.1,South Asia
IDN,Indonesia,2013,96.5,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2013,99.8,Middle East & North Africa
IRQ,Iraq,2013,99.0,Middle East & North Africa
ITA,Italy,2013,100.0,Europe & Central Asia
JPN,Japan,2013,100.0,East Asia & Pacific
IND,India,2000,60.3,South Asia
IDN,Indonesia,2000,86.3,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2000,97.9,Middle East & North Africa
IRQ,Iraq,2000,96.8,Middle East & North Africa
ITA,Italy,2000,100.0,Europe & Central Asia
TZA,Tanzania,2020,39.9,Sub-Saharan Africa
THA,Thailand,2020,100.0,East Asia & Pacific
ETH,Ethiopia,2016,42.9,Sub-Saharan Africa
FRA,France,2016,100.0,Europe & Central Asia
DEU,Germany,2016,100.0,Europe & Central Asia
GHA,Ghana,2016,79.3,Sub-Saharan Africa
ITA,Italy,2007,100.0,Europe & Central Asia
JPN,Japan,2007,100.0,East Asia & Pacific
KEN,Kenya,2007,28.3,Sub-Saharan Africa
KOR,"Korea, Rep.",2007,100.0,East Asia & Pacific
ARG,Argentina,2019,100.0,Latin America & Caribbean
AUS,Australia,2019,100.0,East Asia & Pacific
PER,Peru,2011,89.7,Latin America & Caribbean
PHL,Philippines,2011,87.2,East Asia & Pacific
POL,Poland,2011,100.0,Europe & Central Asia
CAN,Canada,2002,100.0,North America
CHL,Chile,2002,97.3,Latin America & Caribbean
CHN,China,2002,97.2,East Asia & Pacific
COL,Colombia,2002,94.9,Latin America & Caribbean
UGA,Uganda,2006,9.0,Sub-Saharan Africa
UKR,Ukraine,2006,99.5,Europe & Central Asia
ARE,United Arab Emirates,2006,100.0,Middle East & North Africa
GBR,United Kingdom,2006,100.0,Europe & Central Asia
ARG,Argentina,2009,97.8,Latin America & Caribbean
AUS,Australia,2009,100.0,East Asia & Pacific
ARE,United Arab Emirates,2016,100.0,Middle East & North Africa
GBR,United Kingdom,2016,100.0,Europe & Central Asia
USA,United States,2016,100.0,North America
VNM,Vietnam,2016,99.2,East Asia & Pacific
VIR,Virgin Islands (U.S.),2016,100.0,North America
ZMB,Zambia,2016,35.4,Sub-Saharan Africa
ETH,Ethiopia,2018,44.8,Sub-Saharan Africa
FRA,France,2018,100.0,Europe & Central Asia
ITA,Italy,2004,100.0,Europe & Central Asia
JPN,Japan,2004,100.0,East Asia & Pacific
KEN,Kenya,2004,22.6,Sub-Saharan Africa
KOR,"Korea, Rep.",2004,100.0,East Asia & Pacific
SAU,Saudi Arabia,2015,100.0,Middle East & North Africa
BRA,Brazil,2011,99.3,Latin America & Caribbean
NLD,Netherlands,2010,100.0,Europe & Central Asia
NZL,New Zealand,2010,100.0,East Asia & Pacific
NGA,Nigeria,2010,48.0,Sub-Saharan Africa
NOR,Norway,2010,100.0,Europe & Central Asia
PAK,Pakistan,2010,87.1,South Asia
EGY,"Egypt, Arab Rep.",2010,99.4,Middle East & North Africa
ETH,Ethiopia,2010,25.5,Sub-Saharan Africa
UGA,Uganda,2020,42.1,Sub-Saharan Africa
UKR,Ukraine,2020,100.0,Europe & Central Asia
ARE,United Arab Emirates,2020,100.0,Middle East & North Africa
GBR,United Kingdom,2020,100.0,Europe & Central Asia
USA,United States,2020,100.0,North America
